step,epoch,loss,eta
11500,11,0.002820,37.61
11550,11,0.001337,35.90
11600,11,0.011296,34.16
11650,11,0.027233,32.41
11700,11,0.044332,30.65
11750,11,0.004614,28.90
11800,11,0.008135,27.15
11850,11,0.047913,25.40
11900,11,0.020139,23.64
11950,11,0.009120,21.89
12000,11,0.018842,20.13
12050,11,0.009478,18.38
12100,11,0.003466,16.62
12150,11,0.005094,14.86
12200,11,0.052687,13.11
12250,11,0.009308,11.35
12300,11,0.002525,9.59
12350,11,0.002622,7.84
12400,11,0.033021,6.08
12450,11,0.015456,4.32
12500,11,0.043767,2.57
12550,11,0.003575,0.81
12600,12,0.010056,38.89
12650,12,0.071707,37.34
12700,12,0.063803,35.63
12750,12,0.017974,33.91
12800,12,0.018439,32.16
12850,12,0.021544,30.41
12900,12,0.009739,28.66
12950,12,0.028440,26.90
13000,12,0.007359,25.15
13050,12,0.002100,23.39
13100,12,0.007399,21.64
13150,12,0.026182,19.88
13200,12,0.121033,18.13
13250,12,0.003114,16.37
13300,12,0.004835,14.61
13350,12,0.005135,12.86
13400,12,0.015313,11.10
13450,12,0.021886,9.35
13500,12,0.005043,7.59
13550,12,0.010545,5.83
13600,12,0.016127,4.08
13650,12,0.038286,2.32
13700,12,0.018034,0.56
13750,13,0.033680,38.65
13800,13,0.017111,37.09
13850,13,0.127535,35.42
13900,13,0.013998,34.00
13950,13,0.023058,32.17
14000,13,0.017670,30.36
14050,13,0.009051,28.57
14100,13,0.016238,26.78
14150,13,0.031446,25.01
14200,13,0.003758,23.24
14250,13,0.019577,21.47
14300,13,0.002425,19.70
14350,13,0.094142,17.94
14400,13,0.032170,16.17
14450,13,0.017384,14.41
14500,13,0.039330,12.65
14550,13,0.012384,10.89
14600,13,0.013979,9.12
14650,13,0.026253,7.36
14700,13,0.010781,5.60
14750,13,0.009991,3.84
14800,13,0.020464,2.08
14850,13,0.027397,0.32
14900,14,0.001724,38.43
14950,14,0.004119,36.85
15000,14,0.006609,35.14
15050,14,0.003092,33.42
15100,14,0.003412,31.68
15150,14,0.023802,29.92
15200,14,0.004628,28.17
15250,14,0.030715,26.42
15300,14,0.008735,24.66
15350,14,0.003832,22.91
15400,14,0.004108,21.16
15450,14,0.013701,19.40
15500,14,0.001097,17.64
15550,14,0.011554,15.88
15600,14,0.008653,14.13
15650,14,0.004120,12.37
15700,14,0.019557,10.61
15750,14,0.002929,8.86
15800,14,0.010305,7.10
15850,14,0.068005,5.34
15900,14,0.039390,3.59
15950,14,0.024148,1.83
16000,14,0.014225,0.07
16050,15,0.014363,38.25
16100,15,0.020403,36.62
16150,15,0.022698,34.90
16200,15,0.028306,33.18
16250,15,0.000935,31.43
16300,15,0.012216,29.68
16350,15,0.069587,27.92
16400,15,0.043060,26.17
16450,15,0.001443,24.41
16500,15,0.030836,22.66
16550,15,0.013153,20.90
16600,15,0.005512,19.15
16650,15,0.002639,17.39
16700,15,0.007713,15.63
16750,15,0.009728,13.88
16800,15,0.019155,12.12
16850,15,0.001281,10.37
16900,15,0.015604,8.61
16950,15,0.017012,6.85
17000,15,0.013414,5.10
17050,15,0.015248,3.34
17100,15,0.056546,1.58
17150,16,0.001723,39.04
17200,16,0.020254,38.16
17250,16,0.002418,36.45
17300,16,0.002302,34.70
17350,16,0.005117,32.95
17400,16,0.024432,31.20
17450,16,0.009308,29.44
17500,16,0.001558,27.68
17550,16,0.018128,25.93
17600,16,0.001219,24.17
17650,16,0.001884,22.41
17700,16,0.034354,20.66
17750,16,0.020345,18.90
17800,16,0.006686,17.15
17850,16,0.041783,15.39
17900,16,0.015907,13.63
17950,16,0.015443,11.88
18000,16,0.002737,10.12
18050,16,0.013432,8.36
18100,16,0.005532,6.61
18150,16,0.030511,4.85
18200,16,0.006599,3.10
18250,16,0.027725,1.34
18300,17,0.022006,39.25
18350,17,0.006922,37.89
18400,17,0.029862,36.19
18450,17,0.026376,34.53
18500,17,0.048962,32.76
18550,17,0.014586,31.01
18600,17,0.010182,29.24
18650,17,0.007757,27.48
18700,17,0.007207,25.72
18750,17,0.005536,23.96
18800,17,0.001055,22.20
18850,17,0.048709,20.44
18900,17,0.001060,18.68
18950,17,0.053150,16.92
19000,17,0.009596,15.16
19050,17,0.023913,13.40
19100,17,0.028575,11.64
19150,17,0.015750,9.88
19200,17,0.001432,8.12
19250,17,0.021058,6.36
19300,17,0.023781,4.61
19350,17,0.007764,2.85
19400,17,0.008263,1.09
19450,18,0.036055,39.39
19500,18,0.009034,37.77
19550,18,0.000601,36.02
19600,18,0.001494,34.25
19650,18,0.013000,32.49
19700,18,0.036137,30.73
19750,18,0.023769,28.97
19800,18,0.012513,27.21
19850,18,0.002846,25.45
19900,18,0.014171,23.70
19950,18,0.043688,21.94
20000,18,0.031776,20.18
20050,18,0.010366,18.42
20100,18,0.006024,16.66
20150,18,0.015766,14.91
20200,18,0.001971,13.15
20250,18,0.002592,11.39
20300,18,0.002692,9.63
20350,18,0.006802,7.87
20400,18,0.028643,6.12
20450,18,0.005983,4.36
20500,18,0.001547,2.60
20550,18,0.001854,0.85
20600,19,0.004283,38.85
20650,19,0.000687,37.35
20700,19,0.001014,35.83
20750,19,0.004110,34.10
20800,19,0.007130,32.32
20850,19,0.002846,30.54
20900,19,0.006742,28.77
20950,19,0.001708,27.00
21000,19,0.010516,25.24
21050,19,0.020961,23.47
21100,19,0.026098,21.71
